"Order number","Order date","Product name",Category,quantity,"Total price","Customer name","Customer contact","Customer address","Employee full name","Employee birthday","Supplier name","Suplier phone","Sipper name","Shipper phone"
10414,1997-01-14,Geitost,"Dairy Products",50,125,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Andrew Fuller",1952-02-19,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10386,1996-12-18,"Sasquatch Ale",Beverages,10,140,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Anne Dodsworth",1969-07-02,"Bigfoot Breweries","(503) 555-9931","Federal Shipping","(503) 555-9931"
10386,1996-12-18,"Guarana Fantastica",Beverages,15,67.5,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Anne Dodsworth",1969-07-02,"Refrescos Americanas LTDA","(11) 555 4640","Federal Shipping","(503) 555-9931"
10347,1996-11-06,"NuNuCa Nuss-Nougat-Creme",Confections,10,140,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Margaret Peacock",1958-09-19,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Federal Shipping","(503) 555-9931"
10414,1997-01-14,"Teatime Chocolate Biscuits",Confections,18,165.6,"Familia Arquibaldo","Aria Cruz","Rua Oros, 92","Andrew Fuller",1952-02-19,"Specialty Biscuits, Ltd.","(161) 555-4448","Federal Shipping","(503) 555-9931"
10408,1997-01-08,"Tarte au sucre",Confections,35,1725.5,"Folies gourmandes","Martine Rance","184, chaussee de Tournai","Laura Callahan",1958-01-09,"Forets derables","(514) 555-2955","Speedy Express","(503) 555-9831"
10408,1997-01-08,Tourtiere,Meat/Poultry,6,44.7,"Folies gourmandes","Martine Rance","184, chaussee de Tournai","Laura Callahan",1958-01-09,"Ma Maison","(514) 555-9022","Speedy Express","(503) 555-9831"
10408,1997-01-08,"Gravad lax",Seafood,10,260,"Folies gourmandes","Martine Rance","184, chaussee de Tournai","Laura Callahan",1958-01-09,"Svensk Sjofoda AB","08-123 45 67","Speedy Express","(503) 555-9831"
10434,1997-02-03,Lakkalikoori,Beverages,18,324,"Folk och fa HB","Maria Larsson","akergatan 24","Janet Leverling",1963-08-30,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10378,1996-12-10,Flotemysost,"Dairy Products",6,129,"Folk och fa HB","Maria Larsson","akergatan 24","Steven Buchanan",1955-03-04,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10327,1996-10-11,"Escargots de Bourgogne",Seafood,30,397.5,"Folk och fa HB","Maria Larsson","akergatan 24","Andrew Fuller",1952-02-19,"Escargots Nouveaux",85.57.00.07,"Speedy Express","(503) 555-9831"
10264,1996-07-24,"Jacks New England Clam Chowder",Seafood,25,241.25,"Folk och fa HB","Maria Larsson","akergatan 24","Michael Suyama",1963-07-02,"New England Seafood Cannery","(617) 555-3267","Federal Shipping","(503) 555-9931"
10327,1996-10-11,"Nord-Ost Matjeshering",Seafood,35,906.15,"Folk och fa HB","Maria Larsson","akergatan 24","Andrew Fuller",1952-02-19,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713","Speedy Express","(503) 555-9831"
10434,1997-02-03,"Queso Cabrales","Dairy Products",6,126,"Folk och fa HB","Maria Larsson","akergatan 24","Janet Leverling",1963-08-30,"Cooperativa de Quesos Las Cabras","(98) 598 76 54","United Package","(503) 555-3199"
10327,1996-10-11,"Queso Cabrales","Dairy Products",50,1050,"Folk och fa HB","Maria Larsson","akergatan 24","Andrew Fuller",1952-02-19,"Cooperativa de Quesos Las Cabras","(98) 598 76 54","Speedy Express","(503) 555-9831"
10327,1996-10-11,Chang,Beverages,25,475,"Folk och fa HB","Maria Larsson","akergatan 24","Andrew Fuller",1952-02-19,"Exotic Liquid","(171) 555-2222","Speedy Express","(503) 555-9831"
10264,1996-07-24,Chang,Beverages,35,665,"Folk och fa HB","Maria Larsson","akergatan 24","Michael Suyama",1963-07-02,"Exotic Liquid","(171) 555-2222","Federal Shipping","(503) 555-9931"
10267,1996-07-29,Lakkalikoori,Beverages,15,270,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Karkki Oy","(953) 10956","Speedy Express","(503) 555-9831"
10396,1996-12-27,"Mozzarella di Giovanni","Dairy Products",21,730.8,Frankenversand,"Peter Franken","Berliner Platz 43","Nancy Davolio",1968-12-08,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10396,1996-12-27,Flotemysost,"Dairy Products",60,1290,Frankenversand,"Peter Franken","Berliner Platz 43","Nancy Davolio",1968-12-08,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10337,1996-10-24,"Mozzarella di Giovanni","Dairy Products",25,869.9999999999999,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10267,1996-07-29,"Raclette Courdavault","Dairy Products",70,3850,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Gai paturage",38.76.98.06,"Speedy Express","(503) 555-9831"
10342,1996-10-30,"Pate chinois",Meat/Poultry,40,960,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Ma Maison","(514) 555-9022","United Package","(503) 555-3199"
10267,1996-07-29,"Boston Crab Meat",Seafood,50,919.9999999999999,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"New England Seafood Cannery","(617) 555-3267","Speedy Express","(503) 555-9831"
10342,1996-10-30,"Inlagd Sill",Seafood,40,760,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Svensk Sjofoda AB","08-123 45 67","United Package","(503) 555-3199"
10337,1996-10-24,"Gravad lax",Seafood,28,728,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Svensk Sjofoda AB","08-123 45 67","Federal Shipping","(503) 555-9931"
10337,1996-10-24,"Inlagd Sill",Seafood,20,380,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Svensk Sjofoda AB","08-123 45 67","Federal Shipping","(503) 555-9931"
10342,1996-10-30,"Gorgonzola Telino","Dairy Products",56,700,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Formaggi Fortini s.r.l.","(0544) 60323","United Package","(503) 555-3199"
10396,1996-12-27,Tunnbrod,Grains/Cereals,40,360,Frankenversand,"Peter Franken","Berliner Platz 43","Nancy Davolio",1968-12-08,"PB Knackebrod AB","031-987 65 43","Federal Shipping","(503) 555-9931"
10337,1996-10-24,"Gumbar Gummibarchen",Confections,24,749.52,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Federal Shipping","(503) 555-9931"
10337,1996-10-24,Tunnbrod,Grains/Cereals,40,360,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"PB Knackebrod AB","031-987 65 43","Federal Shipping","(503) 555-9931"
10342,1996-10-30,Chang,Beverages,24,456,Frankenversand,"Peter Franken","Berliner Platz 43","Margaret Peacock",1958-09-19,"Exotic Liquid","(171) 555-2222","United Package","(503) 555-3199"
10422,1997-01-22,"Gumbar Gummibarchen",Confections,2,62.46,"Franchi S.p.A.","Paolo Accorti","Via Monte Bianco 34","Andrew Fuller",1952-02-19,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Speedy Express","(503) 555-9831"
10328,1996-10-14,"Scottish Longbreads",Confections,10,125,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32","Margaret Peacock",1958-09-19,"Specialty Biscuits, Ltd.","(161) 555-4448","Federal Shipping","(503) 555-9931"
10328,1996-10-14,"Louisiana Fiery Hot Pepper Sauce",Condiments,40,842,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32","Margaret Peacock",1958-09-19,"New Orleans Cajun Delights","(100) 555-4822","Federal Shipping","(503) 555-9931"
10328,1996-10-14,"Raclette Courdavault","Dairy Products",9,495,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32","Margaret Peacock",1958-09-19,"Gai paturage",38.76.98.06,"Federal Shipping","(503) 555-9931"
10352,1996-11-12,Tourtiere,Meat/Poultry,20,149,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32","Janet Leverling",1963-08-30,"Ma Maison","(514) 555-9022","Federal Shipping","(503) 555-9931"
10352,1996-11-12,"Guarana Fantastica",Beverages,10,45,"Furia Bacalhau e Frutos do Mar","Lino Rodriguez","Jardim das rosas n. 32","Janet Leverling",1963-08-30,"Refrescos Americanas LTDA","(11) 555 4640","Federal Shipping","(503) 555-9931"
10366,1996-11-28,"Original Frankfurter grune Sosse",Condiments,5,65,"Galeria del gastronomo","Eduardo Saavedra","Rambla de Cataluna, 23","Laura Callahan",1958-01-09,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","United Package","(503) 555-3199"
10426,1997-01-27,"Wimmers gute Semmelknodel",Grains/Cereals,7,232.75,"Galeria del gastronomo","Eduardo Saavedra","Rambla de Cataluna, 23","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Speedy Express","(503) 555-9831"
10366,1996-11-28,"Louisiana Fiery Hot Pepper Sauce",Condiments,5,105.25,"Galeria del gastronomo","Eduardo Saavedra","Rambla de Cataluna, 23","Laura Callahan",1958-01-09,"New Orleans Cajun Delights","(100) 555-4822","United Package","(503) 555-3199"
10426,1997-01-27,"Gnocchi di nonna Alice",Grains/Cereals,5,190,"Galeria del gastronomo","Eduardo Saavedra","Rambla de Cataluna, 23","Margaret Peacock",1958-09-19,"Pasta Buttini s.r.l.","(089) 6547665","Speedy Express","(503) 555-9831"
10303,1996-09-11,"Scottish Longbreads",Confections,15,187.5,"Godos Cocina Tipica","Jose Pedro Freyre","C/ Romero, 33","Robert King",1960-05-29,"Specialty Biscuits, Ltd.","(161) 555-4448","United Package","(503) 555-3199"
10303,1996-09-11,"Louisiana Fiery Hot Pepper Sauce",Condiments,30,631.5,"Godos Cocina Tipica","Jose Pedro Freyre","C/ Romero, 33","Robert King",1960-05-29,"New Orleans Cajun Delights","(100) 555-4822","United Package","(503) 555-3199"
10303,1996-09-11,"Boston Crab Meat",Seafood,40,736,"Godos Cocina Tipica","Jose Pedro Freyre","C/ Romero, 33","Robert King",1960-05-29,"New England Seafood Cannery","(617) 555-3267","United Package","(503) 555-3199"
10423,1997-01-23,"Raclette Courdavault","Dairy Products",20,1100,"Gourmet Lanchonetes","Andre Fonseca","Av. Brasil, 442","Michael Suyama",1963-07-02,"Gai paturage",38.76.98.06,"Federal Shipping","(503) 555-9931"
10423,1997-01-23,"Gorgonzola Telino","Dairy Products",14,175,"Gourmet Lanchonetes","Andre Fonseca","Av. Brasil, 442","Michael Suyama",1963-07-02,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10268,1996-07-30,"Mozzarella di Giovanni","Dairy Products",4,139.2,GROSELLA-Restaurante,"Manuel Pereira","5 Ave. Los Palos Grandes","Laura Callahan",1958-01-09,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10268,1996-07-30,"Thuringer Rostbratwurst",Meat/Poultry,10,1237.9,GROSELLA-Restaurante,"Manuel Pereira","5 Ave. Los Palos Grandes","Laura Callahan",1958-01-09,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10250,1996-07-08,"Louisiana Fiery Hot Pepper Sauce",Condiments,15,315.75,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Margaret Peacock",1958-09-19,"New Orleans Cajun Delights","(100) 555-4822","United Package","(503) 555-3199"
10253,1996-07-10,Maxilaku,Confections,40,800,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Janet Leverling",1963-08-30,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10250,1996-07-08,"Manjimup Dried Apples",Produce,35,1855,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Margaret Peacock",1958-09-19,"Gday, Mate","(02) 555-5914","United Package","(503) 555-3199"
10250,1996-07-08,"Jacks New England Clam Chowder",Seafood,10,96.5,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Margaret Peacock",1958-09-19,"New England Seafood Cannery","(617) 555-3267","United Package","(503) 555-3199"
10253,1996-07-10,"Chartreuse verte",Beverages,42,756,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Janet Leverling",1963-08-30,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","United Package","(503) 555-3199"
10253,1996-07-10,"Gorgonzola Telino","Dairy Products",20,250,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Janet Leverling",1963-08-30,"Formaggi Fortini s.r.l.","(0544) 60323","United Package","(503) 555-3199"
10395,1996-12-26,Gudbrandsdalsost,"Dairy Products",8,288,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","Michael Suyama",1963-07-02,"Norske Meierier",(0)2-953010,"Speedy Express","(503) 555-9831"
10257,1996-07-16,"Original Frankfurter grune Sosse",Condiments,15,195,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Federal Shipping","(503) 555-9931"
10395,1996-12-26,"Perth Pasties",Meat/Poultry,70,2296,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","Michael Suyama",1963-07-02,"Gday, Mate","(02) 555-5914","Speedy Express","(503) 555-9831"
10395,1996-12-26,Spegesild,Seafood,28,336,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","Michael Suyama",1963-07-02,Lyngbysild,43844108,"Speedy Express","(503) 555-9831"
10257,1996-07-16,"Chartreuse verte",Beverages,6,108,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","Margaret Peacock",1958-09-19,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","Federal Shipping","(503) 555-9931"
10257,1996-07-16,"Schoggi Schokolade",Confections,25,1097.5,HILARIoN-Abastos,"Carlos Hernandez","Carrera 22 con Ave. Carlos Soublette #8-35","Margaret Peacock",1958-09-19,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Federal Shipping","(503) 555-9931"
10394,1996-12-25,"Tarte au sucre",Confections,10,493,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.","Nancy Davolio",1968-12-08,"Forets derables","(514) 555-2955","Federal Shipping","(503) 555-9931"
10375,1996-12-06,Tourtiere,Meat/Poultry,10,74.5,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.","Janet Leverling",1963-08-30,"Ma Maison","(514) 555-9022","United Package","(503) 555-3199"
10415,1997-01-15,Geitost,"Dairy Products",20,50,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.","Janet Leverling",1963-08-30,"Norske Meierier",(0)2-953010,"Speedy Express","(503) 555-9831"
10415,1997-01-15,"Alice Mutton",Meat/Poultry,2,78,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.","Janet Leverling",1963-08-30,"Pavlova, Ltd.","(03) 444-2343","Speedy Express","(503) 555-9831"
10394,1996-12-25,Konbu,Seafood,10,60,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.","Nancy Davolio",1968-12-08,Mayumis,"(06) 431-7877","Federal Shipping","(503) 555-9931"
10375,1996-12-06,Tofu,Produce,15,348.75,"Hungry Coyote Import Store","Yoshi Latimer","City Center Plaza 516 Main St.","Janet Leverling",1963-08-30,Mayumis,"(06) 431-7877","United Package","(503) 555-3199"
10373,1996-12-05,Flotemysost,"Dairy Products",50,1075,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Margaret Peacock",1958-09-19,"Norske Meierier",(0)2-953010,"Federal Shipping","(503) 555-9931"
10309,1996-09-19,Flotemysost,"Dairy Products",3,64.5,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"Norske Meierier",(0)2-953010,"Speedy Express","(503) 555-9831"
10380,1996-12-12,"Outback Lager",Beverages,30,450,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Laura Callahan",1958-01-09,"Pavlova, Ltd.","(03) 444-2343","Federal Shipping","(503) 555-9931"
10429,1997-01-29,Vegie-spread,Condiments,35,1536.5,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"Pavlova, Ltd.","(03) 444-2343","United Package","(503) 555-3199"
10380,1996-12-12,"Camembert Pierrot","Dairy Products",6,204,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Laura Callahan",1958-01-09,"Gai paturage",38.76.98.06,"Federal Shipping","(503) 555-9931"
10298,1996-09-05,"Tarte au sucre",Confections,15,739.5,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Michael Suyama",1963-07-02,"Forets derables","(514) 555-2955","United Package","(503) 555-3199"
10298,1996-09-05,"Raclette Courdavault","Dairy Products",30,1650,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Michael Suyama",1963-07-02,"Gai paturage",38.76.98.06,"United Package","(503) 555-3199"
10373,1996-12-05,"Escargots de Bourgogne",Seafood,80,1060,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Margaret Peacock",1958-09-19,"Escargots Nouveaux",85.57.00.07,"Federal Shipping","(503) 555-9931"
10429,1997-01-29,"Valkoinen suklaa",Confections,40,650,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10380,1996-12-12,"Perth Pasties",Meat/Poultry,20,656,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Laura Callahan",1958-01-09,"Gday, Mate","(02) 555-5914","Federal Shipping","(503) 555-9931"
10335,1996-10-22,"Manjimup Dried Apples",Produce,48,2544,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Robert King",1960-05-29,"Gday, Mate","(02) 555-5914","United Package","(503) 555-3199"
10309,1996-09-19,"Singaporean Hokkien Fried Mee",Grains/Cereals,2,28,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"Leka Trading",555-8787,"Speedy Express","(503) 555-9831"
10309,1996-09-19,"Ipoh Coffee",Beverages,20,920,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"Leka Trading",555-8787,"Speedy Express","(503) 555-9831"
10298,1996-09-05,"Inlagd Sill",Seafood,40,760,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Michael Suyama",1963-07-02,"Svensk Sjofoda AB","08-123 45 67","United Package","(503) 555-3199"
10380,1996-12-12,"Nord-Ost Matjeshering",Seafood,18,466.02,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Laura Callahan",1958-01-09,"Nord-Ost-Fisch Handelsgesellschaft mbH","(04721) 8713","Federal Shipping","(503) 555-9931"
10335,1996-10-22,"Mascarpone Fabioli","Dairy Products",6,192,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Robert King",1960-05-29,"Formaggi Fortini s.r.l.","(0544) 60323","United Package","(503) 555-3199"
10335,1996-10-22,"Gorgonzola Telino","Dairy Products",25,312.5,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Robert King",1960-05-29,"Formaggi Fortini s.r.l.","(0544) 60323","United Package","(503) 555-3199"
10309,1996-09-19,"Grandmas Boysenberry Spread",Condiments,30,750,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"Grandma Kellys Homestead","(313) 555-5735","Speedy Express","(503) 555-9831"
10335,1996-10-22,Chang,Beverages,7,133,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Robert King",1960-05-29,"Exotic Liquid","(171) 555-2222","United Package","(503) 555-3199"
10309,1996-09-19,"Chef Antons Cajun Seasoning",Condiments,20,440,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Janet Leverling",1963-08-30,"New Orleans Cajun Delights","(100) 555-4822","Speedy Express","(503) 555-9831"
10298,1996-09-05,Chang,Beverages,40,760,"Hungry Owl All-Night Grocers","Patricia McKenna","8 Johnstown Road","Michael Suyama",1963-07-02,"Exotic Liquid","(171) 555-2222","United Package","(503) 555-3199"
10318,1996-10-01,Lakkalikoori,Beverages,6,108,"Island Trading","Helen Bennett","Garden House Crowther Way","Laura Callahan",1958-01-09,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10315,1996-09-26,"Outback Lager",Beverages,30,450,"Island Trading","Helen Bennett","Garden House Crowther Way","Margaret Peacock",1958-09-19,"Pavlova, Ltd.","(03) 444-2343","United Package","(503) 555-3199"
10318,1996-10-01,"Jacks New England Clam Chowder",Seafood,20,193,"Island Trading","Helen Bennett","Garden House Crowther Way","Laura Callahan",1958-01-09,"New England Seafood Cannery","(617) 555-3267","United Package","(503) 555-3199"
10321,1996-10-03,"Steeleye Stout",Beverages,10,180,"Island Trading","Helen Bennett","Garden House Crowther Way","Janet Leverling",1963-08-30,"Bigfoot Breweries","(503) 555-9931","United Package","(503) 555-3199"
10315,1996-09-26,"Sasquatch Ale",Beverages,14,196,"Island Trading","Helen Bennett","Garden House Crowther Way","Margaret Peacock",1958-09-19,"Bigfoot Breweries","(503) 555-9931","United Package","(503) 555-3199"
10325,1996-10-09,"Mozzarella di Giovanni","Dairy Products",40,1392,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Nancy Davolio",1968-12-08,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10323,1996-10-07,"Chartreuse verte",Beverages,4,72,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Margaret Peacock",1958-09-19,"Aux joyeux ecclesiastiques","(1) 03.83.00.68","Speedy Express","(503) 555-9831"
10325,1996-10-09,"Gorgonzola Telino","Dairy Products",4,50,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Nancy Davolio",1968-12-08,"Formaggi Fortini s.r.l.","(0544) 60323","Federal Shipping","(503) 555-9931"
10323,1996-10-07,"NuNuCa Nuss-Nougat-Creme",Confections,4,56,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Margaret Peacock",1958-09-19,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Speedy Express","(503) 555-9831"
10325,1996-10-09,Tofu,Produce,9,209.25,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Nancy Davolio",1968-12-08,Mayumis,"(06) 431-7877","Federal Shipping","(503) 555-9931"
10325,1996-10-09,Konbu,Seafood,12,72,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Nancy Davolio",1968-12-08,Mayumis,"(06) 431-7877","Federal Shipping","(503) 555-9931"
10323,1996-10-07,"Genen Shouyu",Condiments,5,77.5,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Margaret Peacock",1958-09-19,Mayumis,"(06) 431-7877","Speedy Express","(503) 555-9831"
10325,1996-10-09,"Grandmas Boysenberry Spread",Condiments,6,150,"Koniglich Essen","Philip Cramer","Maubelstr. 90","Nancy Davolio",1968-12-08,"Grandma Kellys Homestead","(313) 555-5735","Federal Shipping","(503) 555-9931"
10425,1997-01-24,Lakkalikoori,Beverages,20,360,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Michael Suyama",1963-07-02,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10413,1997-01-14,Lakkalikoori,Beverages,14,252,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Janet Leverling",1963-08-30,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10350,1996-11-11,Gudbrandsdalsost,"Dairy Products",18,648,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Michael Suyama",1963-07-02,"Norske Meierier",(0)2-953010,"United Package","(503) 555-3199"
10413,1997-01-14,"Tarte au sucre",Confections,40,1972,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Janet Leverling",1963-08-30,"Forets derables","(514) 555-2955","United Package","(503) 555-3199"
10425,1997-01-24,"Pate chinois",Meat/Poultry,10,240,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Michael Suyama",1963-07-02,"Ma Maison","(514) 555-9022","United Package","(503) 555-3199"
10350,1996-11-11,"Valkoinen suklaa",Confections,15,243.75,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Michael Suyama",1963-07-02,"Karkki Oy","(953) 10956","United Package","(503) 555-3199"
10371,1996-12-03,"Inlagd Sill",Seafood,6,114,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Nancy Davolio",1968-12-08,"Svensk Sjofoda AB","08-123 45 67","Speedy Express","(503) 555-9831"
10358,1996-11-20,"Inlagd Sill",Seafood,20,380,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Steven Buchanan",1955-03-04,"Svensk Sjofoda AB","08-123 45 67","Speedy Express","(503) 555-9831"
10358,1996-11-20,"Sasquatch Ale",Beverages,10,140,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Steven Buchanan",1955-03-04,"Bigfoot Breweries","(503) 555-9931","Speedy Express","(503) 555-9831"
10358,1996-11-20,"Guarana Fantastica",Beverages,10,45,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Steven Buchanan",1955-03-04,"Refrescos Americanas LTDA","(11) 555 4640","Speedy Express","(503) 555-9831"
10413,1997-01-14,Chais,Beverages,24,432,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine","Janet Leverling",1963-08-30,"Exotic Liquid","(171) 555-2222","United Package","(503) 555-3199"
10343,1996-10-31,Lakkalikoori,Beverages,15,270,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Karkki Oy","(953) 10956","Speedy Express","(503) 555-9831"
10284,1996-08-19,"Laughing Lumberjack Lager",Beverages,5,70,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Bigfoot Breweries","(503) 555-9931","Speedy Express","(503) 555-9831"
10343,1996-10-31,"Scottish Longbreads",Confections,4,50,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Specialty Biscuits, Ltd.","(161) 555-4448","Speedy Express","(503) 555-9831"
10343,1996-10-31,"Wimmers gute Semmelknodel",Grains/Cereals,50,1662.5,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Plutzer Lebensmittelgrossmarkte AG","(069) 992755","Speedy Express","(503) 555-9831"
10284,1996-08-19,"Camembert Pierrot","Dairy Products",20,680,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Gai paturage",38.76.98.06,"Speedy Express","(503) 555-9831"
10284,1996-08-19,"Gula Malacca",Condiments,21,408.45,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Leka Trading",555-8787,"Speedy Express","(503) 555-9831"
10284,1996-08-19,"Schoggi Schokolade",Confections,15,658.5,"Lehmanns Marktstand","Renate Messner","Magazinweg 7","Margaret Peacock",1958-09-19,"Heli Susswaren GmbH and Co. KG","(010) 9984510","Speedy Express","(503) 555-9831"
